,iso2,year,age,cases,sex
214,AO,2007,0-14,484,m
215,AO,2008,0-14,367,m
232,AR,1996,0-14,113,m
233,AR,1997,0-14,96,m
234,AR,1998,0-14,84,m
235,AR,1999,0-14,90,m
236,AR,2000,0-14,97,m
237,AR,2001,0-14,78,m
238,AR,2002,0-14,70,m
239,AR,2003,0-14,89,m
240,AR,2004,0-14,64,m
241,AR,2005,0-14,64,m
242,AR,2006,0-14,67,m
243,AR,2007,0-14,77,m
244,AR,2008,0-14,69,m
262,AS,1997,0-14,1,m
289,AT,1995,0-14,4,m
291,AT,1997,0-14,24,m
293,AT,1999,0-14,0,m
294,AT,2000,0-14,1,m
295,AT,2001,0-14,1,m
296,AT,2002,0-14,1,m
297,AT,2003,0-14,0,m
298,AT,2004,0-14,1,m
299,AT,2005,0-14,1,m
300,AT,2006,0-14,1,m
301,AT,2007,0-14,1,m
320,AU,1997,0-14,1,m
321,AU,1998,0-14,0,m
322,AU,1999,0-14,0,m
323,AU,2000,0-14,3,m
324,AU,2001,0-14,1,m
325,AU,2002,0-14,1,m
326,AU,2003,0-14,0,m
327,AU,2004,0-14,0,m
328,AU,2005,0-14,0,m
329,AU,2006,0-14,1,m
330,AU,2007,0-14,3,m
331,AU,2008,0-14,2,m
347,AZ,1995,0-14,0,m
348,AZ,1996,0-14,0,m
349,AZ,1997,0-14,0,m
350,AZ,1998,0-14,0,m
351,AZ,1999,0-14,0,m
352,AZ,2000,0-14,0,m
353,AZ,2001,0-14,3,m
354,AZ,2002,0-14,6,m
355,AZ,2003,0-14,3,m
356,AZ,2004,0-14,8,m
357,AZ,2005,0-14,77,m
358,AZ,2006,0-14,6,m
376,BA,1995,0-14,0,m
377,BA,1996,0-14,5,m
378,BA,1997,0-14,5,m
379,BA,1998,0-14,1,m
380,BA,1999,0-14,2,m
381,BA,2000,0-14,4,m
382,BA,2001,0-14,6,m
383,BA,2002,0-14,1,m
384,BA,2003,0-14,4,m
385,BA,2004,0-14,3,m
386,BA,2005,0-14,1,m
387,BA,2006,0-14,0,m
388,BA,2007,0-14,0,m
389,BA,2008,0-14,0,m
404,BB,1996,0-14,0,m
408,BB,2000,0-14,0,m
409,BB,2001,0-14,0,m
415,BB,2007,0-14,0,m
416,BB,2008,0-14,0,m
432,BD,1995,0-14,29,m
433,BD,1996,0-14,45,m
434,BD,1997,0-14,201,m
435,BD,1998,0-14,254,m
436,BD,1999,0-14,259,m
437,BD,2000,0-14,256,m
438,BD,2001,0-14,283,m
439,BD,2002,0-14,449,m
440,BD,2003,0-14,320,m
441,BD,2004,0-14,420,m
442,BD,2005,0-14,524,m
443,BD,2006,0-14,607,m
444,BD,2007,0-14,523,m
445,BD,2008,0-14,422,m
461,BE,1995,0-14,3,m
462,BE,1996,0-14,1,m
463,BE,1997,0-14,3,m
464,BE,1998,0-14,3,m
465,BE,1999,0-14,2,m
466,BE,2000,0-14,3,m
467,BE,2001,0-14,8,m
468,BE,2002,0-14,1,m
469,BE,2003,0-14,6,m
470,BE,2004,0-14,1,m
471,BE,2005,0-14,1,m
472,BE,2006,0-14,4,m
473,BE,2007,0-14,2,m
474,BE,2008,0-14,3,m
489,BF,1995,0-14,4,m
490,BF,1996,0-14,3,m
491,BF,1997,0-14,3,m
492,BF,1998,0-14,4,m
493,BF,1999,0-14,13,m
494,BF,2000,0-14,12,m
495,BF,2001,0-14,7,m
496,BF,2002,0-14,6,m
497,BF,2003,0-14,14,m
498,BF,2004,0-14,10,m
499,BF,2005,0-14,18,m
500,BF,2006,0-14,13,m
501,BF,2007,0-14,8,m
502,BF,2008,0-14,8,m
523,BG,2000,0-14,0,m
524,BG,2001,0-14,1,m
525,BG,2002,0-14,2,m
526,BG,2003,0-14,3,m
527,BG,2004,0-14,10,m
528,BG,2005,0-14,9,m
529,BG,2006,0-14,6,m
530,BG,2007,0-14,7,m
531,BG,2008,0-14,2,m
546,BH,1995,0-14,0,m
547,BH,1996,0-14,0,m
548,BH,1997,0-14,1,m
549,BH,1998,0-14,0,m
550,BH,1999,0-14,0,m
551,BH,2000,0-14,0,m
552,BH,2001,0-14,0,m
553,BH,2002,0-14,0,m
554,BH,2003,0-14,0,m
555,BH,2004,0-14,0,m
556,BH,2005,0-14,0,m
557,BH,2006,0-14,0,m
558,BH,2007,0-14,0,m
559,BH,2008,0-14,0,m
575,BI,1995,0-14,5,m
576,BI,1996,0-14,16,m
577,BI,1997,0-14,21,m
578,BI,1998,0-14,45,m
579,BI,1999,0-14,64,m
581,BI,2001,0-14,34,m
582,BI,2002,0-14,16,m
583,BI,2003,0-14,32,m
584,BI,2004,0-14,24,m
585,BI,2005,0-14,34,m
586,BI,2006,0-14,30,m
587,BI,2007,0-14,26,m
588,BI,2008,0-14,30,m
604,BJ,1995,0-14,14,m
605,BJ,1996,0-14,17,m
606,BJ,1997,0-14,20,m
607,BJ,1998,0-14,20,m
608,BJ,1999,0-14,14,m
609,BJ,2000,0-14,19,m
611,BJ,2002,0-14,16,m
612,BJ,2003,0-14,20,m
613,BJ,2004,0-14,16,m
614,BJ,2005,0-14,21,m
615,BJ,2006,0-14,18,m
617,BJ,2008,0-14,20,m
640,BM,2004,0-14,0,m
660,BN,1999,0-14,0,m
661,BN,2000,0-14,0,m
663,BN,2002,0-14,2,m
664,BN,2003,0-14,0,m
665,BN,2004,0-14,0,m
666,BN,2005,0-14,0,m
667,BN,2006,0-14,2,m
668,BN,2007,0-14,0,m
669,BN,2008,0-14,0,m
686,BO,1996,0-14,178,m
687,BO,1997,0-14,150,m
688,BO,1998,0-14,167,m
689,BO,1999,0-14,222,m
690,BO,2000,0-14,166,m
691,BO,2001,0-14,165,m
692,BO,2002,0-14,231,m
693,BO,2003,0-14,156,m
694,BO,2004,0-14,161,m
695,BO,2005,0-14,157,m
696,BO,2006,0-14,127,m
697,BO,2007,0-14,116,m
698,BO,2008,0-14,128,m
717,BR,1999,0-14,301,m
718,BR,2000,0-14,1894,m
719,BR,2001,0-14,468,m
720,BR,2002,0-14,344,m
721,BR,2003,0-14,382,m
722,BR,2004,0-14,337,m
723,BR,2005,0-14,317,m
724,BR,2006,0-14,343,m
725,BR,2007,0-14,371,m
726,BR,2008,0-14,298,m
742,BS,1995,0-14,3,m
743,BS,1996,0-14,0,m
744,BS,1997,0-14,0,m
745,BS,1998,0-14,0,m
746,BS,1999,0-14,1,m
747,BS,2000,0-14,1,m
749,BS,2002,0-14,2,m
750,BS,2003,0-14,0,m
751,BS,2004,0-14,3,m
753,BS,2007,0-14,0,m
754,BS,2008,0-14,0,m
770,BT,1995,0-14,2,m
771,BT,1996,0-14,4,m
772,BT,1997,0-14,4,m
773,BT,1998,0-14,3,m
774,BT,1999,0-14,10,m
775,BT,2000,0-14,6,m
776,BT,2001,0-14,3,m
777,BT,2002,0-14,5,m
778,BT,2003,0-14,9,m
779,BT,2004,0-14,1,m
780,BT,2005,0-14,1,m
781,BT,2006,0-14,0,m
782,BT,2007,0-14,2,m
783,BT,2008,0-14,3,m
801,BW,1997,0-14,29,m
803,BW,1999,0-14,18,m
804,BW,2000,0-14,25,m
805,BW,2001,0-14,15,m
806,BW,2002,0-14,17,m
807,BW,2003,0-14,22,m
808,BW,2004,0-14,29,m
809,BW,2005,0-14,27,m
810,BW,2006,0-14,36,m
811,BW,2007,0-14,25,m
812,BW,2008,0-14,27,m
834,BY,2001,0-14,2,m
835,BY,2002,0-14,0,m
836,BY,2003,0-14,0,m
857,BZ,1995,0-14,1,m
858,BZ,1996,0-14,1,m
859,BZ,1997,0-14,2,m
862,BZ,2000,0-14,2,m
863,BZ,2001,0-14,0,m
864,BZ,2002,0-14,4,m
865,BZ,2003,0-14,1,m
866,BZ,2004,0-14,0,m
867,BZ,2005,0-14,0,m
868,BZ,2006,0-14,3,m
869,BZ,2007,0-14,1,m
870,BZ,2008,0-14,1,m
871,CA,1980,0-14,12,m
872,CA,1981,0-14,8,m
873,CA,1982,0-14,6,m
874,CA,1983,0-14,9,m
875,CA,1984,0-14,3,m
876,CA,1985,0-14,11,m
877,CA,1986,0-14,9,m
878,CA,1987,0-14,9,m
879,CA,1988,0-14,4,m
880,CA,1989,0-14,10,m
881,CA,1990,0-14,3,m
882,CA,1991,0-14,7,m
883,CA,1992,0-14,6,m
884,CA,1993,0-14,8,m
885,CA,1994,0-14,2,m
886,CA,1995,0-14,1,m
887,CA,1996,0-14,3,m
888,CA,1997,0-14,0,m
889,CA,1998,0-14,4,m
890,CA,1999,0-14,0,m
891,CA,2000,0-14,5,m
892,CA,2001,0-14,6,m
893,CA,2002,0-14,0,m
894,CA,2003,0-14,1,m
895,CA,2004,0-14,2,m
896,CA,2005,0-14,3,m
897,CA,2006,0-14,2,m
898,CA,2007,0-14,5,m
899,CA,2008,0-14,2,m
915,CD,1995,0-14,373,m
916,CD,1996,0-14,228,m
917,CD,1997,0-14,259,m
918,CD,1998,0-14,455,m
919,CD,1999,0-14,474,m
920,CD,2000,0-14,485,m
921,CD,2001,0-14,581,m
922,CD,2002,0-14,649,m
923,CD,2003,0-14,854,m
924,CD,2004,0-14,1195,m
925,CD,2005,0-14,1321,m
926,CD,2006,0-14,1122,m
927,CD,2007,0-14,1343,m
928,CD,2008,0-14,1515,m
941,CF,1995,0-14,38,m
942,CF,1996,0-14,46,m
943,CF,1997,0-14,54,m
944,CF,1998,0-14,28,m
945,CF,1999,0-14,28,m
947,CF,2001,0-14,15,m
948,CF,2002,0-14,76,m
950,CF,2004,0-14,12,m
951,CF,2005,0-14,29,m
952,CF,2006,0-14,48,m
954,CF,2008,0-14,68,m
970,CG,1995,0-14,16,m
974,CG,1999,0-14,17,m
976,CG,2001,0-14,31,m
979,CG,2004,0-14,9,m
981,CG,2006,0-14,32,m
982,CG,2007,0-14,28,m
983,CG,2008,0-14,31,m
999,CH,1995,0-14,0,m
1000,CH,1996,0-14,1,m
1001,CH,1997,0-14,0,m
1002,CH,1998,0-14,0,m
1003,CH,1999,0-14,1,m
1004,CH,2000,0-14,0,m
1005,CH,2001,0-14,0,m
1006,CH,2002,0-14,0,m
1007,CH,2003,0-14,0,m
1008,CH,2004,0-14,0,m
1009,CH,2005,0-14,1,m
1010,CH,2006,0-14,1,m
1011,CH,2007,0-14,0,m
1012,CH,2008,0-14,0,m
1028,CI,1995,0-14,41,m
1029,CI,1996,0-14,118,m
1030,CI,1997,0-14,87,m
1031,CI,1998,0-14,72,m
1032,CI,1999,0-14,98,m
1034,CI,2001,0-14,108,m
1035,CI,2002,0-14,102,m
1036,CI,2003,0-14,116,m
1037,CI,2004,0-14,114,m
1038,CI,2005,0-14,128,m
1039,CI,2006,0-14,171,m
1040,CI,2007,0-14,173,m
1041,CI,2008,0-14,261,m
1042,CK,1980,0-14,0,m
1043,CK,1981,0-14,0,m
1044,CK,1982,0-14,0,m
1045,CK,1983,0-14,0,m
1046,CK,1984,0-14,0,m
1047,CK,1985,0-14,1,m
1048,CK,1986,0-14,0,m
1049,CK,1987,0-14,0,m
1051,CK,1989,0-14,0,m
1053,CK,1991,0-14,0,m
1054,CK,1992,0-14,0,m
1055,CK,1993,0-14,0,m
1056,CK,1994,0-14,0,m
1057,CK,1995,0-14,0,m
1058,CK,1996,0-14,0,m
1059,CK,1997,0-14,0,m
1060,CK,1998,0-14,0,m
1062,CK,2000,0-14,0,m
1063,CK,2001,0-14,0,m
1064,CK,2002,0-14,0,m
1065,CK,2003,0-14,0,m
1066,CK,2004,0-14,0,m
1067,CK,2005,0-14,0,m
1068,CK,2006,0-14,0,m
1086,CL,1995,0-14,24,m
1087,CL,1996,0-14,8,m
1088,CL,1997,0-14,11,m
1090,CL,1999,0-14,4,m
1091,CL,2000,0-14,6,m
1092,CL,2001,0-14,2,m
1093,CL,2002,0-14,6,m
1094,CL,2003,0-14,1,m
1095,CL,2004,0-14,3,m
1096,CL,2005,0-14,3,m
1097,CL,2006,0-14,12,m
1098,CL,2007,0-14,3,m
1099,CL,2008,0-14,7,m
1115,CM,1995,0-14,20,m
1116,CM,1996,0-14,34,m
1117,CM,1997,0-14,36,m
1118,CM,1998,0-14,15,m
1119,CM,1999,0-14,49,m
1120,CM,2000,0-14,41,m
1121,CM,2001,0-14,24,m
1122,CM,2002,0-14,66,m
1123,CM,2003,0-14,100,m
1124,CM,2004,0-14,127,m
1125,CM,2005,0-14,134,m
1126,CM,2006,0-14,112,m
1127,CM,2007,0-14,121,m
1128,CM,2008,0-14,108,m
1142,CN,1995,0-14,1102,m
1143,CN,1996,0-14,1409,m
1144,CN,1997,0-14,1456,m
1145,CN,1998,0-14,1481,m
1146,CN,1999,0-14,1247,m
1147,CN,2000,0-14,1131,m
1148,CN,2001,0-14,1213,m
1149,CN,2002,0-14,925,m
1150,CN,2003,0-14,1133,m
1151,CN,2004,0-14,1375,m
1152,CN,2005,0-14,1416,m
1153,CN,2006,0-14,1023,m
1154,CN,2007,0-14,878,m
1155,CN,2008,0-14,751,m
1175,CO,1999,0-14,270,m
1176,CO,2000,0-14,246,m
1177,CO,2001,0-14,223,m
1178,CO,2002,0-14,209,m
1179,CO,2003,0-14,237,m
1180,CO,2004,0-14,208,m
1181,CO,2005,0-14,178,m
1182,CO,2006,0-14,219,m
1183,CO,2007,0-14,144,m
1184,CO,2008,0-14,136,m
1200,CR,1995,0-14,1,m
1201,CR,1996,0-14,0,m
1202,CR,1997,0-14,37,m
1203,CR,1998,0-14,30,m
1204,CR,1999,0-14,4,m
1205,CR,2000,0-14,14,m
1206,CR,2001,0-14,2,m
1207,CR,2002,0-14,3,m
1208,CR,2003,0-14,3,m
1209,CR,2004,0-14,1,m
1210,CR,2005,0-14,1,m
1211,CR,2006,0-14,1,m
1212,CR,2007,0-14,4,m
1213,CR,2008,0-14,3,m
1229,CU,1995,0-14,2,m
1230,CU,1996,0-14,0,m
1231,CU,1997,0-14,0,m
1232,CU,1998,0-14,0,m
1233,CU,1999,0-14,1,m
1234,CU,2000,0-14,0,m
1235,CU,2001,0-14,0,m
1236,CU,2002,0-14,0,m
1237,CU,2003,0-14,2,m
1238,CU,2004,0-14,0,m
1239,CU,2005,0-14,2,m
1242,CU,2008,0-14,2,m
1255,CV,1997,0-14,0,m
1256,CV,1998,0-14,2,m
1258,CV,2001,0-14,0,m
1259,CV,2002,0-14,3,m
1260,CV,2003,0-14,3,m
1261,CV,2004,0-14,1,m
1262,CV,2005,0-14,0,m
1263,CV,2006,0-14,2,m
1264,CV,2007,0-14,0,m
1265,CV,2008,0-14,0,m
1281,CY,1995,0-14,0,m
1282,CY,1996,0-14,0,m
1284,CY,1998,0-14,0,m
1285,CY,1999,0-14,5,m
1288,CY,2002,0-14,0,m
1289,CY,2003,0-14,0,m
1290,CY,2004,0-14,0,m
1291,CY,2005,0-14,0,m
1292,CY,2006,0-14,0,m
1293,CY,2007,0-14,0,m
1294,CY,2008,0-14,0,m
1310,CZ,1995,0-14,2,m
1311,CZ,1996,0-14,1,m
1312,CZ,1997,0-14,0,m
1313,CZ,1998,0-14,0,m
1314,CZ,1999,0-14,2,m
1315,CZ,2000,0-14,0,m
1316,CZ,2001,0-14,0,m
1317,CZ,2002,0-14,0,m
1318,CZ,2003,0-14,0,m
1319,CZ,2004,0-14,0,m
1320,CZ,2005,0-14,0,m
1321,CZ,2006,0-14,0,m
1322,CZ,2007,0-14,0,m
1323,CZ,2008,0-14,0,m
1339,DE,1995,0-14,14,m
1340,DE,1996,0-14,20,m
1341,DE,1997,0-14,11,m
1342,DE,1998,0-14,9,m
1343,DE,1999,0-14,13,m
1345,DE,2001,0-14,3,m
1346,DE,2002,0-14,3,m
1347,DE,2003,0-14,2,m
1348,DE,2004,0-14,5,m
1349,DE,2005,0-14,6,m
1350,DE,2006,0-14,2,m
1351,DE,2007,0-14,2,m
1352,DE,2008,0-14,2,m
1367,DJ,1996,0-14,30,m
1368,DJ,1997,0-14,52,m
1369,DJ,1998,0-14,23,m
1370,DJ,1999,0-14,25,m
1371,DJ,2000,0-14,17,m
1372,DJ,2001,0-14,17,m
1373,DJ,2002,0-14,20,m
1374,DJ,2003,0-14,10,m
1375,DJ,2004,0-14,19,m
1376,DJ,2005,0-14,18,m
1377,DJ,2006,0-14,14,m
1378,DJ,2007,0-14,14,m
1379,DJ,2008,0-14,17,m
1395,DK,1995,0-14,0,m
1396,DK,1996,0-14,0,m
1397,DK,1997,0-14,1,m
1398,DK,1998,0-14,0,m
1399,DK,1999,0-14,4,m
1400,DK,2000,0-14,5,m
1401,DK,2001,0-14,1,m
1402,DK,2002,0-14,2,m
1403,DK,2003,0-14,3,m
1404,DK,2004,0-14,1,m
1405,DK,2005,0-14,0,m
1406,DK,2006,0-14,0,m
1407,DK,2007,0-14,0,m
1408,DK,2008,0-14,0,m
1425,DM,1996,0-14,0,m
1426,DM,1997,0-14,0,m
1427,DM,1998,0-14,0,m
1431,DM,2006,0-14,0,m
1432,DM,2007,0-14,0,m
1433,DM,2008,0-14,0,m
1450,DO,1996,0-14,17,m
1451,DO,1997,0-14,76,m
1452,DO,1998,0-14,62,m
1453,DO,1999,0-14,90,m
1454,DO,2000,0-14,73,m
1456,DO,2002,0-14,39,m
1457,DO,2003,0-14,52,m
1458,DO,2004,0-14,45,m
1459,DO,2005,0-14,43,m
1460,DO,2006,0-14,25,m
1461,DO,2007,0-14,23,m
1462,DO,2008,0-14,16,m
1479,DZ,1997,0-14,659,m
1481,DZ,1999,0-14,40,m
1482,DZ,2000,0-14,59,m
1483,DZ,2001,0-14,41,m
1484,DZ,2002,0-14,39,m
1485,DZ,2003,0-14,40,m
1486,DZ,2004,0-14,63,m
1487,DZ,2005,0-14,53,m
1488,DZ,2006,0-14,41,m
1489,DZ,2007,0-14,95,m
1490,DZ,2008,0-14,99,m
1509,EC,1998,0-14,169,m
1512,EC,2001,0-14,39,m
1514,EC,2003,0-14,18,m
1515,EC,2004,0-14,84,m
1516,EC,2005,0-14,48,m
1517,EC,2006,0-14,32,m
1518,EC,2007,0-14,42,m
1519,EC,2008,0-14,32,m
1536,EE,1996,0-14,1,m
1537,EE,1997,0-14,0,m
1538,EE,1998,0-14,0,m
1539,EE,1999,0-14,0,m
1540,EE,2000,0-14,0,m
1541,EE,2001,0-14,0,m
1542,EE,2002,0-14,0,m
1543,EE,2003,0-14,0,m
1544,EE,2004,0-14,0,m
1545,EE,2005,0-14,0,m
1546,EE,2006,0-14,0,m
1547,EE,2007,0-14,0,m
1548,EE,2008,0-14,0,m
1564,EG,1995,0-14,223,m
1565,EG,1996,0-14,58,m
1566,EG,1997,0-14,50,m
1567,EG,1998,0-14,45,m
1568,EG,1999,0-14,31,m
1569,EG,2000,0-14,21,m
1570,EG,2001,0-14,34,m
1571,EG,2002,0-14,39,m
1572,EG,2003,0-14,42,m
1573,EG,2004,0-14,14,m
1574,EG,2005,0-14,25,m
1575,EG,2006,0-14,54,m
1576,EG,2007,0-14,35,m
1577,EG,2008,0-14,13,m
1584,ER,1997,0-14,0,m
1585,ER,1998,0-14,4,m
1586,ER,1999,0-14,3,m
1587,ER,2000,0-14,9,m
1588,ER,2001,0-14,5,m
1589,ER,2002,0-14,16,m
1590,ER,2003,0-14,17,m
1591,ER,2004,0-14,14,m
1592,ER,2005,0-14,9,m
1593,ER,2006,0-14,6,m
1594,ER,2007,0-14,21,m
1610,ES,1995,0-14,22,m
1613,ES,1998,0-14,25,m
1616,ES,2001,0-14,13,m
1617,ES,2002,0-14,22,m
1618,ES,2003,0-14,7,m
1619,ES,2004,0-14,14,m
1620,ES,2005,0-14,13,m
1621,ES,2006,0-14,18,m
1622,ES,2007,0-14,10,m
1623,ES,2008,0-14,18,m
1639,ET,1995,0-14,247,m
1640,ET,1996,0-14,302,m
1641,ET,1997,0-14,579,m
1642,ET,1998,0-14,715,m
1643,ET,1999,0-14,692,m
1644,ET,2000,0-14,915,m
1645,ET,2001,0-14,913,m
1646,ET,2002,0-14,1251,m
1647,ET,2003,0-14,1110,m
1648,ET,2004,0-14,1160,m
1649,ET,2005,0-14,1109,m
1650,ET,2006,0-14,978,m
1651,ET,2007,0-14,1055,m
1652,ET,2008,0-14,978,m
1668,FI,1995,0-14,1,m
1669,FI,1996,0-14,0,m
1670,FI,1997,0-14,0,m
1671,FI,1998,0-14,0,m
1672,FI,1999,0-14,0,m
1673,FI,2000,0-14,0,m
1674,FI,2001,0-14,0,m
1675,FI,2002,0-14,0,m
1676,FI,2003,0-14,0,m
1677,FI,2004,0-14,0,m
1678,FI,2005,0-14,1,m
1679,FI,2006,0-14,0,m
1680,FI,2007,0-14,0,m
1681,FI,2008,0-14,0,m
1696,FJ,1994,0-14,2,m
1697,FJ,1995,0-14,0,m
1698,FJ,1996,0-14,1,m
1699,FJ,1997,0-14,1,m
1700,FJ,1998,0-14,0,m
1701,FJ,1999,0-14,1,m
1702,FJ,2000,0-14,0,m
1703,FJ,2001,0-14,0,m
1704,FJ,2002,0-14,1,m
1705,FJ,2003,0-14,2,m
1706,FJ,2004,0-14,0,m
1707,FJ,2005,0-14,7,m
1708,FJ,2006,0-14,0,m
1709,FJ,2007,0-14,1,m
1724,FM,1995,0-14,0,m
1725,FM,1996,0-14,0,m
1726,FM,1997,0-14,0,m
1727,FM,1998,0-14,4,m
1729,FM,2000,0-14,0,m
1730,FM,2001,0-14,0,m
1731,FM,2002,0-14,2,m
1732,FM,2003,0-14,0,m
1733,FM,2004,0-14,0,m
1735,FM,2006,0-14,14,m
1736,FM,2007,0-14,1,m
1737,FM,2008,0-14,1,m
1753,FR,1995,0-14,30,m
1754,FR,1996,0-14,36,m
1755,FR,1997,0-14,24,m
1757,FR,1999,0-14,13,m
1758,FR,2000,0-14,10,m
1759,FR,2001,0-14,10,m
1760,FR,2002,0-14,24,m
1761,FR,2003,0-14,18,m
1762,FR,2004,0-14,13,m
1763,FR,2005,0-14,12,m
1764,FR,2006,0-14,17,m
1765,FR,2007,0-14,17,m
1766,FR,2008,0-14,10,m
1782,GA,1995,0-14,3,m
1783,GA,1996,0-14,0,m
1785,GA,1998,0-14,14,m
1786,GA,1999,0-14,14,m
1787,GA,2001,0-14,21,m
1788,GA,2002,0-14,10,m
1789,GA,2003,0-14,14,m
1790,GA,2004,0-14,17,m
1791,GA,2005,0-14,13,m
1792,GA,2006,0-14,20,m
1794,GA,2008,0-14,14,m
1812,GB,1997,0-14,2,m
1813,GB,1998,0-14,11,m
1814,GB,1999,0-14,8,m
1815,GB,2000,0-14,8,m
1816,GB,2001,0-14,10,m
1817,GB,2002,0-14,6,m
1818,GB,2003,0-14,13,m
1819,GB,2004,0-14,10,m
1820,GB,2005,0-14,9,m
1821,GB,2006,0-14,9,m
1822,GB,2007,0-14,13,m
1823,GB,2008,0-14,5,m
1841,GD,1997,0-14,0,m
1842,GD,1998,0-14,0,m
1843,GD,1999,0-14,0,m
1849,GD,2006,0-14,0,m
1865,GE,1995,0-14,2,m
1866,GE,1996,0-14,4,m
1867,GE,1997,0-14,0,m
1868,GE,1998,0-14,4,m
1869,GE,1999,0-14,5,m
1870,GE,2000,0-14,4,m
1871,GE,2001,0-14,4,m
1872,GE,2002,0-14,1,m
1873,GE,2003,0-14,1,m
1874,GE,2004,0-14,3,m
1875,GE,2005,0-14,0,m
1876,GE,2006,0-14,3,m
1877,GE,2007,0-14,7,m
1878,GE,2008,0-14,161,m
1894,GH,1995,0-14,42,m
1895,GH,1996,0-14,30,m
1896,GH,1997,0-14,77,m
1897,GH,1998,0-14,83,m
1898,GH,1999,0-14,64,m
1899,GH,2000,0-14,73,m
1900,GH,2001,0-14,84,m
1901,GH,2002,0-14,80,m
1902,GH,2003,0-14,79,m
1903,GH,2004,0-14,54,m
1904,GH,2005,0-14,49,m
1905,GH,2006,0-14,33,m
1906,GH,2007,0-14,66,m
1911,GM,1995,0-14,3,m
1912,GM,1996,0-14,29,m
1913,GM,1997,0-14,2,m
1914,GM,1998,0-14,6,m
1915,GM,1999,0-14,6,m
1917,GM,2002,0-14,2,m
1918,GM,2003,0-14,3,m
1919,GM,2004,0-14,5,m
1920,GM,2005,0-14,13,m
1921,GM,2006,0-14,13,m
1923,GM,2008,0-14,7,m
1938,GN,1995,0-14,18,m
1939,GN,1996,0-14,29,m
1940,GN,1997,0-14,25,m
1941,GN,1998,0-14,22,m
1942,GN,1999,0-14,30,m
1943,GN,2000,0-14,39,m
1944,GN,2001,0-14,24,m
1945,GN,2002,0-14,24,m
1946,GN,2003,0-14,34,m
1947,GN,2004,0-14,38,m
1948,GN,2005,0-14,51,m
1949,GN,2006,0-14,31,m
1950,GN,2007,0-14,46,m
1951,GN,2008,0-14,56,m
1963,GQ,1995,0-14,8,m
1965,GQ,1997,0-14,5,m
1966,GQ,1998,0-14,6,m
1968,GQ,2004,0-14,5,m
1971,GQ,2008,0-14,8,m
1987,GR,1997,0-14,0,m
1988,GR,1998,0-14,15,m
1989,GR,1999,0-14,3,m
1990,GR,2000,0-14,1,m
1991,GR,2001,0-14,0,m
1992,GR,2002,0-14,0,m
1993,GR,2003,0-14,2,m
